name,elev_ft,elev_m,lat,lon,activities,season,link
Needle Point,9018,2749,45.1259,-117.3561,"Hiking, Trad Climbing, Mixed, Scrambling","Summer, Fall",http://www.summitpost.org/needle-point/499847
Needle Rock,4468,1362,44.7501,-122.2042,Trad Climbing,Summer,http://www.summitpost.org/needle-rock/485388
Nesmith Point,3872,1180,45.588,-122.006,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/nesmith-point/155008
Nipple Butte,6157,1877,44.5773,-118.9765,,,http://www.summitpost.org/nipple-butte/154105
North End,,,,,Trad Climbing,"Spring, Summer, Fall, Winter",http://www.summitpost.org/north-end/853994
North Imnaha,9340,2847,45.1522,-117.2367,,,http://www.summitpost.org/north-imnaha/153405
North Sister,10085,3074,44.1664,-121.7714,"Mountaineering, Scrambling","Spring, Summer, Fall",http://www.summitpost.org/north-sister/150530
Odell Butte (OR),7032,2143,43.4711,-121.8628,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/odell-butte-or/254522
Olallie Butte,7215,2199,44.8208,-121.7625,,,http://www.summitpost.org/olallie-butte/150600
Old Man and Old Woman,2000,610,,,,,http://www.summitpost.org/old-man-and-old-woman/152579
Onion Peak,3057,932,45.81605,-123.88456,"Hiking, Bouldering, Scrambling","Spring, Summer, Fall, Winter",http://www.summitpost.org/onion-peak/177904
Park Ridge,7078,2157,44.7292,-121.8044,,,http://www.summitpost.org/park-ridge/150620
Paulina Peak / Newberry Crater,7985,2434,43.6894,-121.2536,,,http://www.summitpost.org/paulina-peak-newberry-crater/150880
"Peak 8,587 (Wallowas)",8587,2617,45.1096,-117.3714,"Hiking, Mixed, Scrambling","Summer, Fall",http://www.summitpost.org/peak-8-587-wallowas/508658
"Peak 8,676 (Wallowas)",8676,2644,45.086,-117.349,"Hiking, Mixed, Scrambling","Summer, Fall",http://www.summitpost.org/peak-8-676-wallowas/511948
"Peak 8,721 (Wallowas)",8721,2658,45.105,-117.334,"Hiking, Mixed, Scrambling","Summer, Fall",http://www.summitpost.org/peak-8-721-wallowas/518439
"Peak 8,924 (Wallowas)",8924,2720,45.128,-117.329,"Hiking, Mixed, Scrambling","Summer, Fall",http://www.summitpost.org/peak-8-924-wallowas/516463
Peak 8525 (Elkhorns),8525,2598,44.9237,-118.2323,,,http://www.summitpost.org/peak-8525-elkhorns/155290
